university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
SOAS University of London,,71.5,69.8,57.4,55.3
Stockholm University,,58.5,85.1,60.9,72.8
The University of Western Australia,,62.4,85.4,68.4,64.6
Tilburg University,,66.1,84.3,42.6,75.5
Universidad Carlos III de Madrid (UC3M),,64.1,79.3,63.9,62.6
Universidad Diego Portales (UDP),,69.3,54.6,61.5,49
"University of Rome ""Tor Vergata""",,65.9,86.5,57.7,64.6
University of Trento,,60.5,76.1,60.1,62.6
Universitat de Barcelona,,64.8,73.6,68.7,55.3
Albert-Ludwigs-Universitaet Freiburg,,76,50.9,53.2,49
University of Vienna,,65.3,75.8,60.6,60.4
Université de Montréal,,58.7,77.3,68.3,68.2
Universite libre de Bruxelles,,67.1,61.9,67.9,45.1
Université Panthéon-Assas (Paris 2),,77.2,42.8,62.1,40.5
University College Cork,,60.2,82.4,64,68.2
"University of California, Davis",,55.2,91.8,60.4,77.9
University of Canterbury,,60.9,69.8,73.7,55.3
University of Florida,,55.9,93.1,55,82.1
University of Geneva,,71.7,78.9,53.1,60.4
University of Glasgow,,65.3,85.7,60.5,71.4
University of Helsinki,,66.6,80,56.9,69.8
University of Leeds,,61,85.1,61,75.5
University of Minnesota,,58.2,87.1,54.2,82.1
University of Notre Dame,,60.9,91.8,51.4,76.7
University of Ottawa,,64.6,74.2,60.6,62.6
University of Pretoria,,56.4,73.5,72.4,66.5
University of Southampton,,58.3,80.7,62,66.5
University of the Witwatersrand,,60.1,66.4,68.9,52.4
University of Washington,,59.3,92.6,61,83.9
University of Wisconsin-Madison,,63.2,87.7,59.8,79
University of Zurich,,61.2,82.1,60,68.2
Uppsala University,,63.6,80,55.4,60.4
Vrije Universiteit Amsterdam,,60.6,85.7,58.7,76.7
Waseda University,,71,39.9,78.7,27.7
Westfälische Wilhelms-Universität Münster,,64.9,66.8,59.8,55.3
Wuhan University,,62.8,84.1,66.3,66.5
Beijing Normal University,,58.8,45.3,65,45.1
Boston College,,58.1,86,51.5,71.4
Central European University,,58.7,68.5,60.9,58
City University of New York,,49.1,82.8,58.4,79
Dalhousie University,,56.9,89.2,53.4,68.2
Fundação Getulio Vargas (FGV),,60.2,62.6,62.8,58
University of Göttingen,,60.9,75.1,58.7,62.6
Hanyang University,,58.5,45.3,75.1,40.5
Indiana University Bloomington,,49,87,63.9,82.1
Kyung Hee University,,57,63.6,68.3,45.1
La Trobe University,,54.8,79.7,64.2,62.6
Osaka University,,60.7,34.8,70,34.9
