university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
KU Leuven,,63,83.2,63.5,90.8
Keio University CEMS MIM,,65.2,67.1,67.9,63.2
Kyoto University,,65.2,70.1,74.4,65
Ludwig-Maximilians-Universität München,,59.6,99.5,63.5,87.6
The Ohio State University,,64.2,88.1,63,93.2
Oxford Brookes University,,62.8,81.8,71.1,82.1
Queensland University of Technology (QUT),,63,80.6,67.4,89.6
Sogang University,,59.2,84.2,70.5,72.5
Technical University of Munich,,61.3,76.8,72.9,82.1
The University of Adelaide,,61.3,78.2,68.3,81.2
Tilburg University,,72.2,86.1,45.9,90.2
UCL (University College London),,62,75.3,71.7,79.3
Universidad Adolfo Ibàñez,,66.8,63.8,70.4,63.2
Universidad Carlos III de Madrid (UC3M),,58.8,86.3,67.5,81.2
Universidad de Chile,,66,72.5,71.8,65
Universidad de los Andes,,67.3,74.7,65.4,68.3
Universidad Nacional Autónoma de México (UNAM),,67,49.2,74.8,54.1
Universidade de São Paulo,,66.1,67,71.8,78.3
Universiti Kebangsaan Malaysia (UKM),,66.4,67.5,62.9,77.2
Universiti Sains Malaysia (USM),,65,71.7,68.5,79.3
University College Dublin,,60.4,85.4,71.5,85.4
University of Alberta,,62.6,90.2,63.4,90.8
University of Birmingham,,58.9,85.3,67.4,89.6
University of Florida,,65.7,87.3,51.9,88.3
University of Leeds,,59.8,85.1,62.3,89.6
University of Minnesota,,66.4,89.1,56.8,93.7
University of Otago,,58.8,84.3,69.5,81.2
University of Reading,,61.3,83.2,63.4,82.1
University of Strathclyde,,65.9,88.8,57.3,93.2
University of Virginia,,65.6,89.9,58.5,85.4
University of Washington,,61.6,88,64.6,90.8
University of Wisconsin-Madison,,63.2,83.4,62.8,85.4
Victoria University of Wellington,,61.9,79.9,63.8,81.2
York University,,63.6,86.7,64,92.6
Zhejiang University,,56.4,72.6,74.6,85.4
Athens University of Economics and Business,,58.3,85.2,61.2,87.6
Chulalongkorn University,,63.7,60.2,65.8,63.2
Concordia University,,52.2,83.4,64.9,86.8
