university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
McMaster University,,62.3,81.4,71.9,76.9
Nanjing University,,59.6,72,70.5,65
National Central University,,63.9,71.6,67.9,69.4
National Cheng Kung University (NCKU),,62.1,75.9,80.8,69.4
National Chiao Tung University,,67.8,73.1,75,69.4
Osaka University,,61,66.6,74.6,62.5
Pontificia Universidad Católica de Chile (UC),,65.9,68.9,73.9,69.4
Queensland University of Technology (QUT),,65.3,71.6,65.8,65
Sapienza University of Rome,,65.9,77.8,57.5,76.9
Stockholm University,,57,85.9,67.8,69.4
Sungkyunkwan University (SKKU),,66.5,68.5,86.7,67.3
The University of Georgia,,62.9,71.7,40.4,71.4
Tilburg University,,60.1,75.7,59.9,67.3
Universidad Carlos III de Madrid (UC3M),,61,76.4,63,69.4
Universidade Estadual de Campinas (Unicamp),,64.1,74.3,62.8,75.1
Universitat Autònoma de Barcelona,,65.1,67.1,62.5,59.8
Universitat Politècnica de Catalunya,,56.2,80.6,68.2,73.3
Universiti Malaya (UM),,68.6,68.3,80,65
University of Alberta,,62.4,80.5,68.8,80
University of Bath,,54.9,84.1,64.1,75.1
University of Birmingham,,58.7,73.1,66,69.4
University of Calgary,,61,74,71.9,69.4
"University of California, Irvine",,61.8,82.6,55.4,76.9
Ghent University,,56.4,89,63.1,82.9
University of Glasgow,,61.5,88,46.8,65
University of Groningen,,57.1,84.8,47.9,78.5
University of Iowa,,56.3,78.2,50.5,76.9
University of Lisbon,,52.9,87.3,74.3,93.6
University of Pittsburgh,,55,80.8,54.1,76.9
University of Southern California,,54.1,87.6,55.4,84.3
University of Strathclyde,,57.4,75.7,58.6,75.1
University of Virginia,,55.6,88.5,61.2,69.4
Uppsala University,,58.9,85.3,54.6,69.4
The University of Western Ontario,,60,82.6,70.9,80
Xi’an Jiaotong University,,55.6,79.4,48.3,78.5
Yonsei University,,70.3,64.6,83.5,65
Zhejiang University,,58.9,80.5,79.2,73.3
Beijing Normal University,,51.6,76.8,59.8,73.3
Cardiff University,,46.5,79.3,64.7,81.5
Chalmers University of Technology,,63.2,69,40.7,69.4
"City, University of London",,52,75.3,62.4,73.3
Heriot-Watt University,,57,64.3,54.8,62.5
Hong Kong Baptist University,,44.3,79.9,63.2,76.9
Indian Institute of Technology Kanpur (IITK),,58.3,68.2,63.5,69.4
Indian Institute of Technology Kharagpur (IIT-KGP),,57.7,68.2,67,65
Maastricht University,,53.9,72.3,59.2,67.3
Massey University,,60.4,61.3,70,59.8
Middle East Technical University,,57.7,65.8,67.4,71.4
Nankai University,,48.4,81,54.5,73.3
National Chengchi University,,57.6,60.1,70.8,56.9
National Sun Yat-sen University,,60.4,62.3,65.6,53.7
Renmin (People's) University of China,,58.2,64,62.4,59.8
RMIT University,,60.9,66,71.3,59.8
Shanghai University,,49.2,77.1,56,73.3
Simon Fraser University,,52.3,76.8,57.4,73.3
Tel Aviv University,,54.1,81.3,49.9,76.9
The University of Sheffield,,56.8,75.3,52.1,71.4
The University of Western Australia,,57.3,65.3,76.6,65
Tohoku University,,59.1,58.9,67.6,56.9
University Complutense Madrid,,49.9,72.7,68.2,69.4
Universidad de Sevilla,,49.7,75.9,56,71.4
Universitat Politècnica de València,,54.9,71.2,60.3,67.3
Universidade Federal de Minas Gerais,,57.9,69.6,49.7,69.4
Universidade Federal do Rio de Janeiro,,62.7,66.2,53.2,65
University of Florence,,51.6,72.8,51.6,71.4
University of Naples - Federico II,,48.1,74.2,58.5,73.3
University of Pisa,,55.2,73.1,64.1,73.3
Universitat de Valencia,,57.5,70.7,63.9,67.3
Université du Québec,,45.5,77.5,63.5,80
Université Paris Diderot - Paris 7,,49.8,79.8,36.3,75.1
Université Paris-Sud,,42.2,84,57.1,82.9
Universiti Kebangsaan Malaysia (UKM),,60.2,57.6,64.8,56.9
Universiti Sains Malaysia (USM),,58,60.3,71.7,62.5
University College Dublin,,53.8,65.6,74.8,65
"University of California, Santa Barbara (UCSB)",,53.7,78.5,53.9,75.1
University of Canterbury,,62.2,63,67,59.8
University of Helsinki,,50.4,76.9,53,75.1
"University of Illinois, Chicago (UIC)",,51.4,72.8,59.5,67.3
University of Leeds,,53.3,75.9,57.2,67.3
University of Otago,,64.9,55.3,66.5,50.2
University of Technology Sydney,,56.6,68.7,72.3,67.3
"The University of Tennessee, Knoxville",,47.9,87.5,51.9,69.4
University of Twente,,49.3,85.3,50.5,78.5
University of Zurich,,49.8,76.1,65.9,69.4
Utrecht University,,57.4,81.8,37.9,69.4
Victoria University of Wellington,,58.3,58,70.7,62.5
Washington University in St. Louis,,51.7,75.6,55,67.3
