university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
RWTH Aachen University,,53.3,85.6,83.7,69.8
Rutgers University - New Brunswick,,56.9,84.8,48.2,82.5
Sapienza University of Rome,,55.7,79.8,80.1,74.7
Shanghai Jiao Tong University,,54.9,72.4,96.4,56.7
The University of Warwick,,56.1,82.3,70.1,72.4
Universidad Autónoma de Madrid,,57.3,66.4,66.5,64
University Complutense Madrid,,60.4,57,53.1,64
Universidad de Buenos Aires (UBA),,60.7,63,77.4,56.7
University of Granada,,62.9,67.5,38,78.9
Universidade de São Paulo,,59.7,57,70.6,52.2
Universidade Estadual de Campinas (Unicamp),,63.6,51.8,64.6,60.6
Universidade Federal do Rio de Janeiro,,58.6,50.9,60.1,56.7
Università Cattolica del Sacro Cuore,,56.3,55.1,81.2,52.2
Alma Mater Studiorum - University of Bologna,,56,73,65.7,67.1
Universität Frankfurt am Main,,56.5,78.7,62.4,69.8
Albert-Ludwigs-Universitaet Freiburg,,57,84.9,49,76.9
Universität Hamburg,,60.9,75.1,56.3,69.8
Universität Leipzig,,69.7,72.2,,67.1
Universität Stuttgart,,59.3,76.2,65.2,64
Université catholique de Louvain (UCL),,57.4,72,62.7,76.9
Universiti Sains Malaysia (USM),,63.3,63,73,40.4
University of Alberta,,55.4,84,57.5,84.2
University of Antwerp,,59.3,70.8,42.3,74.7
University of Copenhagen,,59.5,76.6,67.1,69.8
University of Essex,,60,84.3,43.1,78.9
University of Geneva,,61.8,76.5,42,76.9
University of Glasgow,,53.8,100,77.8,76.9
University of Groningen,,61.2,75,47.3,78.9
University of Reading,,61,77.1,64,64
University of Tartu,,60.9,54.7,63.7,52.2
University of Warsaw,,59.8,48.2,62.8,56.7
University of Washington,,60.6,86.2,55.3,88.7
Uppsala University,,61.4,80.7,44.3,64
Victoria University of Wellington,,62.3,77.7,55,67.1
Vrije Universiteit Amsterdam,,59.1,80.2,54.5,76.9
Zhejiang University,,56.6,78.1,89.4,40.4
Aarhus University,,52.7,75.3,64.6,72.4
Arizona State University,,51.6,84.2,61.3,78.9
Aston University,,50.4,72.3,76.1,69.8
Charles University,,55.5,56.5,49.8,56.7
Chulalongkorn University,,58,48.9,61.9,40.4
De La Salle University,,57.7,35.5,63,20.2
Eötvös Lorànd University,,56.5,68.8,58.7,52.2
University of Göttingen,,53.7,80.2,45.3,76.9
The Hebrew University of Jerusalem,,57.7,74.9,38.9,67.1
Johns Hopkins University,,51.8,83.9,65.6,80.7
Karl-Franzens-Universitaet Graz,,52.6,57.7,71.6,56.7
Kyung Hee University,,57.8,42,73,32
La Trobe University,,53.5,75.7,50.4,64
Nagoya University,,55.9,57.1,59.6,52.2
"National Research University Higher School of Economics (HSE, Moscow)",,55.8,48.3,60.7,32
Northern Arizona University,,60.3,82.4,,69.8
Pontifícia Universidade Católica do Rio de Janeiro,,56.5,34.1,53.9,40.4
Queen's University Belfast,,52,51.4,79.6,46.9
Renmin (People's) University of China,,51.5,53.1,82.2,40.4
Rice University,,54.3,65,48.9,56.7
Shanghai International Studies University,,56.6,56.4,50.6,40.4
Simon Fraser University,,52.3,91.5,69,74.7
Sogang University,,55.5,44.4,63.9,52.2
Tel Aviv University,,56.7,78,38.3,84.2
The Education University of Hong Kong,,51.9,79.8,66.1,64
The Open University,,49.2,86.3,67.5,72.4
The University of Adelaide,,54.2,78.4,65.9,56.7
Tohoku University,,56.7,58.6,59.8,40.4
Universidad de Chile,,56.8,64.8,61.2,56.7
University of Salamanca,,58.4,53.7,39.8,52.2
Universidad de Santiago de Chile (USACH),,58.5,10.3,57.6,20.2
Universidade Federal de Minas Gerais,,56.7,49.4,53.6,46.9
Universidade Nova de Lisboa,,55.8,54.3,48.3,56.7
Università degli Studi di Pavia,,54.3,53.9,58.4,52.2
University of Siena,,56.7,55.4,39.1,40.4
University of Cologne,,59.2,81.5,35.3,64
Universität Konstanz,,58.4,76.6,37.6,76.9
Université du Québec,,55.4,74.2,57.7,69.8
University of Basel,,52.5,83.1,61.5,64
University of Bergen,,53.4,80.1,37.8,69.8
University of Bucharest,,57.6,43.6,52.9,46.9
University of Canterbury,,54.3,78.6,57.7,67.1
University of Delaware,,55.1,80.8,33.3,72.4
Ghent University,,54.5,74.8,51.3,82.5
University of Leeds,,53,77.9,68.7,69.8
University of Minnesota,,53.7,79.3,48.9,80.7
University of New Mexico,,54.6,87.2,44,82.5
University of Otago,,51.7,67.7,69.8,52.2
University of Science and Technology of China,,53.5,71.5,79.2,56.7
University of Waikato,,54.7,73.5,54.6,46.9
