university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Jagiellonian University,,61.5,63.2,49.8,51.2
Michigan State University,,55.8,84.1,74.2,59.4
Northwestern University,,55.7,89.5,61.8,74.4
The Ohio State University,,54.6,87.2,65.7,83.1
Osaka University,,66.6,41.4,65.4,33.8
Pontifícia Universidade Católica do Rio de Janeiro,,65.9,28.9,77.8,40.6
Queen's University at Kingston,,58.2,71.9,59.5,55.5
Ruhr-Universität Bochum,,60.9,81.3,,69.1
Saint Petersburg State University,,73.4,11.2,66.4,25.6
Sapienza University of Rome,,60,62.9,61.6,59.4
Shandong University,,67.6,52,44.2,46.3
Sungkyunkwan University (SKKU),,64.4,49.9,83.7,40.6
Tel Aviv University,,58.3,70.1,38.2,66.2
The University of Manchester,,56,84.5,74.6,81.1
The University of Melbourne,,57.4,83,80.1,74.4
The University of Queensland,,55.3,83.9,68.7,74.4
Tsinghua University,,59.1,58.7,86.9,51.2
Universidad de los Andes,,62.8,52,59.9,46.3
Università di Padova,,60.5,67.1,57.7,51.2
Università degli studi Roma Tre,,59.4,63.2,51.4,59.4
Universitat Autònoma de Barcelona,,61.9,69.7,52.2,51.2
Universität Konstanz,,59.6,65.8,62.3,46.3
University of Vienna,,67.9,70.9,,55.5
University of Calgary,,57.9,80.3,62.5,63
"University of California, Davis",,59.8,84.1,65.3,69.1
"University of California, Irvine",,52.8,84.7,65.1,76.8
"University of California, Riverside",,50.9,100,44.5,90.2
University of Colorado Boulder,,55.3,94.2,51.3,81.1
Ghent University,,56.9,83.6,54.4,76.8
University of Glasgow,,53,89.7,52.7,83.1
"University of Illinois, Chicago (UIC)",,57.2,80,49.9,63
University of Southern California,,51.3,92.1,68.8,86.8
University of Tartu,,60,65.8,45.8,55.5
University of Warsaw,,61.7,61.4,70.6,55.5
Utrecht University,,58,84.1,66.1,79
Wuhan University,,70.9,26,64.6,25.6
York University,,56.6,82,37.5,69.1
Zhejiang University,,65.7,49.1,72.4,40.6
American University of Beirut (AUB),,55.9,59.5,29.6,46.3
George Washington University,,55.5,64.1,64.1,51.2
Hong Kong Baptist University,,58.3,53.2,66.9,46.3
La Trobe University,,51.6,90.3,60.2,69.1
Leiden University,,48.7,85.1,64.5,69.1
"Lingnan University, Hong Kong",,55.8,75,66.6,59.4
Loyola University Chicago,,56.3,66.4,60,51.2
"Nanyang Technological University, Singapore (NTU)",,51.1,62.8,69.9,59.4
"National Research University Higher School of Economics (HSE, Moscow)",,66.7,33.6,58.6,25.6
Novosibirsk State University,,62.3,26,62.7,25.6
Oxford Brookes University,,60.3,31.4,68.3,25.6
Pennsylvania State University,,52.5,83.4,55.5,76.8
Pontificia Universidad Javeriana,,65.5,22.4,55.9,25.6
Rheinische Friedrich-Wilhelms-Universität Bonn,,57.3,54.9,46,33.8
Rice University,,47.5,87.2,46.8,74.4
Simon Fraser University,,54.7,69.5,56.8,55.5
Sun Yat-sen University,,64.7,33.6,59.4,25.6
The University of Western Australia,,55.5,60.7,62.9,46.3
Tufts University,,49.6,81.6,40.2,66.2
Universidad Autónoma de Madrid,,58.8,60.7,50.7,46.3
University of Salamanca,,53.5,81.2,45,55.5
Universidade Federal de Minas Gerais,,56.9,56.4,62.5,40.6
Universidade Federal do Rio de Janeiro,,59.6,57.4,73,46.3
Universidade Federal do Rio Grande Do Sul,,55.5,63.5,55.3,46.3
Università Cattolica del Sacro Cuore,,62.4,38.7,75.1,33.8
Universität Bielefeld,,57.2,69.5,39.6,59.4
Universität Hamburg,,52.6,81.3,52.5,69.1
University of Cologne,,52.7,73.5,46.1,55.5
Universitat Pompeu Fabra,,57,67.9,54.9,51.2
Université de Fribourg,,58.6,56.9,31.7,46.3
Université du Québec,,53.8,77.3,41.7,55.5
University of Aberdeen,,49.5,89.6,48.6,79
University of Birmingham,,52.9,84.3,71.1,66.2
University of Delhi,,63.8,35.5,54.1,33.8
The University of Exeter,,52.8,78.7,68.4,66.2
University of Kent,,53.4,85,52,66.2
University of Massachusetts Amherst,,49.9,89.2,52,74.4
University of Miami,,53.2,90.7,44.4,76.8
University of Otago,,52.2,81.7,63.6,69.1
University of Stirling,,51.1,85,69.1,71.9
University of Twente,,56.6,74.2,48.9,59.4
University of Victoria,,56.7,64.7,33.8,59.4
University of Waterloo,,49.6,88.3,57.2,74.4
University of Zurich,,47.9,89.6,60.4,69.1
Victoria University of Wellington,,48.1,79.7,64.7,74.4
Vrije Universiteit Amsterdam,,54.3,75.1,60.4,66.2
Westfälische Wilhelms-Universität Münster,,57.6,70.3,39.4,46.3
Yonsei University,,60.4,42.6,74.2,
