university,overall,ACADEMIC REPUTATION,EMPLOYER REPUTATION
National Chiao Tung University,,62.8,66.5
National Sun Yat-sen University,,63.1,72.8
Northwestern University,,62.7,71.7
Novosibirsk State University,,63.6,65
The Ohio State University,,69.9,58.8
Pontificia Universidad Católica del Perú,,67.2,63.7
Pontificia Universidad Javeriana,,70.2,56.5
Pontifícia Universidade Católica do Rio de Janeiro,,65.2,59.3
Queen's University Belfast,,64.2,62.8
RWTH Aachen University,,61.7,76.7
The University of Sheffield,,66.4,60.7
The University of Western Australia,,63,68.1
"Trinity College Dublin, The University of Dublin",,57.3,81.4
Universidad de Sevilla,,66,58.2
Universidade de Santiago de Compostela,,66.7,56.8
Università di Padova,,67.1,65
Universität Frankfurt am Main,,67.6,54.8
University of Cologne,,67.4,59.7
Université du Québec,,70.7,57.6
Universite libre de Bruxelles,,68.9,54.9
Université Paris Diderot - Paris 7,,74.7,37.6
Universiti Putra Malaysia (UPM),,68.3,62.8
Universiti Sains Malaysia (USM),,66.3,63.4
The University of Arizona,,68.3,54.6
"University of California, Irvine",,72.7,51
"University of California, Santa Barbara (UCSB)",,71.4,57.6
The University of Exeter,,65.4,71.2
Ghent University,,64.9,62.2
University of Groningen,,69.1,59.9
University of Lausanne,,66.2,68.5
University of Liverpool,,64.2,69.6
University of Notre Dame,,68.2,55.5
University of Ottawa,,71.4,54
University of Southern California,,65.4,69.4
University of the Philippines,,66.6,58.4
University of Tsukuba,,69.8,60.5
University of Washington,,69.7,61.8
University of York,,68.9,62.7
Victoria University of Wellington,,68.1,58.4
Vrije Universiteit Amsterdam,,65.2,65.7
York University,,65.3,63.2
