university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Indian Institute of Technology Madras (IITM),,73.4,72.6,73.4,62.7
Indian Institute of Technology Roorkee (IITR),,73,74.6,63.8,62.7
Istanbul Technical University,,62.8,77.4,68.3,60.5
Kyushu University,,66,67.1,81.3,53.2
Loughborough University,,64.6,86.6,62,68.6
Middle East Technical University,,62.5,79.1,66.8,70.4
Nagoya University,,66.9,67.4,76.4,55.8
National Chiao Tung University,,60.9,70.8,74.6,60.5
National Taiwan University of Science and Technology (Taiwan Tech),,63.1,79.1,70.6,62.7
North Carolina State University,,64.3,85.7,57.2,70.4
Sapienza University of Rome,,69.6,83.1,73.4,62.7
Technische Universität Berlin (TU Berlin),,72.7,58.8,72.4,44.2
Vienna University of Technology,,72.5,75.9,68.6,68.6
The University of Nottingham,,72.8,85.5,63.5,72.1
Universidad de Chile,,74.1,62.6,71.5,60.5
Universidad Nacional Autónoma de México (UNAM),,77.9,59.3,72.6,50.4
Universitat Politècnica de València,,57.8,89.7,58.1,86.1
Università di Padova,,66,83.7,60.1,73.7
Alma Mater Studiorum - University of Bologna,,64.1,88.1,72.2,75.3
Université de Montréal,,66,71.2,65,64.8
Universiti Kebangsaan Malaysia (UKM),,66.4,77.9,75.9,60.5
Universiti Putra Malaysia (UPM),,66,72,74.1,47.4
University of Alberta,,71.2,82.4,65.1,62.7
University of Birmingham,,69.3,81.3,70.6,70.4
University of Bristol,,72.3,82.2,61.2,66.7
University of Calgary,,70,70.3,63.7,64.8
University of Coimbra,,66.6,86.3,61.3,70.4
University of Colorado Boulder,,74.8,86.9,58,75.3
University of Florida,,71.3,83.6,53.7,70.4
Ghent University,,67.7,87,60.4,76.8
University of Liverpool,,62.4,84.6,62.5,70.4
"University of Maryland, College Park",,67.8,91.9,55.6,78.3
University of Minho,,66.4,94.9,53.1,84.9
University of Minnesota,,69.4,81.1,61.4,66.7
University of Patras,,61.3,83.7,62.7,73.7
University of Southampton,,70.6,74.4,64.8,68.6
University of Southern California,,66.6,82.7,67,53.2
University of Technology Sydney,,64.8,70.9,81.2,53.2
University of Wisconsin-Madison,,69.1,82.8,65.6,70.4
University of Wollongong,,62.2,80.6,69.1,66.7
Vilnius Gediminas Technical University,,69,78.5,74.9,60.5
Wuhan University,,60.6,75,77.9,62.7
Arizona State University,,66.6,82.8,55.7,64.8
"Asian Institute of Technology, Thailand",,74.5,56.4,63,50.4
Beijing University of Technology,,56.4,72,67.7,58.2
CentraleSupélec,,58.9,52.4,81.5,50.4
Chulalongkorn University,,67.5,50.2,73.3,36.9
Concordia University,,52.4,88.7,55.2,73.7
Dalian University of Technology,,62.4,85.6,47.8,87.3
Huazhong University of Science and Technology,,57.1,83.1,62.4,70.4
Indian Institute of Science (IISc) Bangalore,,71.3,68.2,65.1,50.4
Institut National des Sciences Appliquées de Lyon (INSA),,62.6,68.9,63.6,50.4
Johns Hopkins University,,64.5,67.2,66.8,50.4
King Fahd University of Petroleum & Minerals,,59.3,70,77.1,44.2
King Saud University,,46.8,80,75.8,62.7
Kyung Hee University,,46.6,81.6,72.8,64.8
Lehigh University,,63.3,81,47.9,73.7
McMaster University,,58,74.9,68.8,64.8
Newcastle University,,67.3,72.4,62.8,62.7
The Ohio State University,,62.6,71.6,60.7,55.8
Osaka University,,64.6,53.3,82.7,44.2
Pusan National University,,54.9,71.6,67.8,60.5
Queen's University at Kingston,,63,65,67.7,60.5
Rice University,,58.2,74.2,56.9,68.6
Sejong University,,59,73.5,74.7,60.5
South China University of Technology,,53.5,83.6,57.3,73.7
Southeast University,,66.7,76.8,51.9,78.3
Swansea University,,67.9,66.9,61.5,47.4
Swinburne University of Technology,,52.3,79.7,68.4,66.7
Technion - Israel Institute of Technology,,68.2,81.3,50.4,66.7
Technische Universität Darmstadt,,68.7,50.3,70.6,36.9
The University of Warwick,,59.3,77.4,69.2,64.8
Tianjin University,,56.8,82.7,56.6,81.1
Universidade Estadual de Campinas (Unicamp),,64.2,54.6,69.9,50.4
Universidade Federal do Rio de Janeiro,,71.1,69.2,61.2,58.2
Università degli Studi di Pavia,,58.7,73.6,58.1,70.4
University of Trento,,64.5,65.1,61.6,60.5
University at Buffalo SUNY,,73.3,72.1,41.7,62.7
University of Aberdeen,,59.4,72.5,72.8,47.4
University of Bath,,65.4,77.3,58.9,68.6
"University of California, Irvine",,64.6,87.6,48.8,66.7
University of Cape Town,,55.6,67,71,53.2
The University of Exeter,,58.5,79.5,52.8,70.4
"University of Illinois, Chicago (UIC)",,71.2,57.1,62.9,47.4
Université de Liège,,67.1,76.3,60.2,50.4
University of Salford,,61.7,72.3,62.5,55.8
University of Tehran,,55.5,83.1,56.3,72.1
Warsaw University of Technology,,62.8,58.9,70.5,47.4
Waseda University,,61.2,54.2,84,36.9
The University of Western Ontario,,60.7,73.7,64,60.5
Xi’an Jiaotong University,,55.1,93,59,72.1
