university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Indian Institute of Technology Kharagpur (IIT-KGP),,63.7,78.2,64.9,68.3
Indian Institute of Technology Madras (IITM),,66.1,74.4,67.1,63.3
Instituto Politécnico Nacional (IPN),,62.6,71.6,68.8,58.5
Jilin University,,56.4,84.7,59.1,89.3
King Abdulaziz University (KAU),,53.9,81.8,62.8,82.3
King Fahd University of Petroleum & Minerals,,61.1,75.8,71.6,65
KTH Royal Institute of Technology,,58.5,83.4,70.9,75.1
Kyung Hee University,,48.1,84.6,76.5,75.7
McMaster University,,69.4,76.3,68.6,62.4
Michigan State University,,62,80.7,71.2,69
National Cheng Kung University (NCKU),,56.8,78.9,72.1,65
National Chiao Tung University,,52.6,83.3,73.8,69.7
National Taiwan University of Science and Technology (Taiwan Tech),,63.1,77.5,70.4,63.3
North Carolina State University,,67.1,82.1,64.4,75.1
Norwegian University of Science And Technology,,66.4,79.3,63.1,68.3
Novosibirsk State University,,59.7,62.7,77.5,54.1
Pusan National University,,56.1,77.3,71.6,66.7
Queen's University at Kingston,,63.7,71.5,70.6,57.5
Rensselaer Polytechnic Institute,,62,77.8,66.2,60.5
RMIT University,,55.7,76.2,79.4,57.5
Technische Universität Dresden,,60.2,80.8,68.7,67.5
The Chinese University of Hong Kong (CUHK),,59.7,79.5,77,65
The Hong Kong Polytechnic University,,53.7,81.6,72.3,69.7
The University of Adelaide,,62.8,76.1,77.4,61.5
The University of Auckland,,58.1,70.6,83,54.1
The University of Nottingham,,68.2,83.9,62.5,69
Universidad de Buenos Aires (UBA),,64,64.6,72.2,51.6
Universitat Politècnica de València,,53.6,90.5,55.9,86.4
Universidade Federal do Rio de Janeiro,,68.4,74.8,59.7,65.9
Universitat de Barcelona,,61.4,84.5,62.5,73.8
Friedrich-Alexander-Universität Erlangen-Nürnberg,,63.6,86.5,53.4,76.3
Universität Stuttgart,,58.7,81.9,68.4,72.5
Université de Montréal,,58.3,76.1,67.7,65.9
Universiti Teknologi Petronas (Petronas),,66.9,61.3,74.4,57.5
University of Calgary,,57.7,82.9,67.5,72.5
University of Colorado Boulder,,63.3,87,56.4,78.1
University of Florida,,64.3,87.9,58,77.5
Ghent University,,64.3,82.1,61.4,70.5
University of Houston,,65.7,80.5,66.1,73.2
University of Porto,,62.8,82.5,63.5,73.8
Waseda University,,48.1,76.2,86.6,64.2
Washington State University,,67.4,80.3,54.5,69
Washington University in St. Louis,,63.3,84.8,60.6,74.5
Aalto University,,56.2,79.6,60.4,65.9
Arizona State University,,54.3,87.6,59.3,78.1
Beijing Institute of Technology,,54.3,76.3,66.3,67.5
Colorado School of Mines,,63,68.2,61.9,58.5
Harbin Institute of Technology,,53.9,77.2,62,77.5
Hiroshima University,,58.5,76.5,60.4,64.2
Karolinska Institutet,,59.1,65.5,70.2,48.9
King Saud University,,51.8,77.9,68.7,75.7
Kyungpook National University,,46.8,75.8,68.5,67.5
Laval University,,61,80.5,52.4,68.3
Nankai University,,42,88.6,62,86.9
National Chung Hsing University,,52.9,75.3,64.5,59.5
National Technical University of Athens,,56.4,65,68.1,55.3
New York University (NYU),,49.3,71.8,76.5,60.5
Politecnico di Torino,,59.3,71.9,70.7,59.5
Queen's University Belfast,,62.2,76.6,57,69.7
Rutgers University - New Brunswick,,55.3,89.9,53,76.3
Sapienza University of Rome,,54.5,79.9,62.9,66.7
Sogang University,,50.5,67.4,80,56.4
Sun Yat-sen University,,45.9,84.2,72.8,77.5
Technion - Israel Institute of Technology,,63.3,76.1,54.2,61.5
Vienna University of Technology,,58.1,72.5,64.8,61.5
The University of Western Australia,,58.1,68.6,72.5,56.4
University Complutense Madrid,,55.6,81.4,58.8,69.7
Universidad Nacional de Colombia,,61.5,64.3,66.8,52.9
Universidade Nova de Lisboa,,56,74.8,62.3,64.2
University of Naples - Federico II,,55.3,75.1,60.7,62.4
Universitat Autònoma de Barcelona,,62.9,76.2,55.2,65.9
Université Pierre et Marie Curie (UPMC),,54.9,81.9,63.9,73.2
Universiti Teknologi MARA - UiTM,,63.6,55.2,74.2,46
University College Dublin,,46.6,79.2,71.7,61.5
University of Bath,,60.4,79.9,58.6,69.7
