university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Michigan State University,,65.2,84,72.8,69.3
National Cheng Kung University (NCKU),,61.4,80.7,84.8,72
National Taiwan University of Science and Technology (Taiwan Tech),,63.4,81.7,73.9,70.7
Politecnico di Torino,,68.1,82,60.5,72.8
Rutgers University - New Brunswick,,56.8,90,61.9,70.7
Technion - Israel Institute of Technology,,70.6,82.5,54.1,67.4
Technische Universität Darmstadt,,66.2,81.1,69.7,68.4
The University of Nottingham,,62.1,84,70.8,70.2
The University of Warwick,,58.2,85.3,68.3,68.4
Universidad Autónoma de Madrid,,56.8,86.9,69,68.9
Universidade de São Paulo,,70.3,74.3,70.8,70.7
Universitat de Barcelona,,64.6,85,66.5,68.4
Friedrich-Alexander-Universität Erlangen-Nürnberg,,68.5,85.2,35.3,76.6
Universität Stuttgart,,70.3,81.8,54.1,67.9
Université catholique de Louvain (UCL),,59.2,84.5,77.5,64.7
Université de Montréal,,66.7,81.6,59.2,66.4
Université Pierre et Marie Curie (UPMC),,61.7,84.4,48.8,74.4
Universiti Malaya (UM),,70.6,74.9,77.7,66.9
Universiti Sains Malaysia (USM),,67.3,78.1,76.6,70.2
Universiti Teknologi Malaysia,,65.9,75.8,78.3,65.8
University of Alberta,,65.1,81.9,68.2,72.4
University of Bristol,,70,82.3,65.6,65.3
University of Colorado Boulder,,54.1,88.4,73,73.6
University of Groningen,,59.5,90.2,56,70.7
University of Leeds,,69.3,82.6,59.1,66.4
University of Liverpool,,59.1,88.4,60.5,66.9
"University of Maryland, College Park",,55.5,86,68.8,78
University of Massachusetts Amherst,,67.9,89.7,48.5,69.8
University of Pittsburgh,,56.2,90.4,49.1,76.6
University of Science and Technology Beijing,,68.9,73.2,39.8,77.3
University of Southampton,,67.4,80.2,73.5,68.9
University of Southern California,,56.4,85.7,65.4,72
"The University of Tennessee, Knoxville",,57.3,85.7,59.7,73.6
University of Wollongong,,63.8,86.2,47.6,74.8
Uppsala University,,62,85,53.7,74
Virginia Polytechnic Institute and State University,,69.6,80.7,59.7,70.7
Waseda University,,60.7,79.8,99.2,67.4
Wuhan University,,51.1,88.1,81.1,81.2
Xiamen University,,51.3,89.9,52.8,82.9
Xi’an Jiaotong University,,64,78.8,43.3,79.7
Beijing University of Chemical Technology,,46.8,88,59,80.3
Chulalongkorn University,,66,77.7,59.9,57.7
Colorado School of Mines,,69.3,82,30,67.4
Dalian University of Technology,,56.9,81.1,23.1,80.6
Drexel University,,47.8,90.5,57.8,73.6
Gwangju Institute of Science and Technology (GIST),,61,89.1,,73.6
Iowa State University,,57.7,84.8,52.1,72.4
Jilin University,,48.2,87.1,38.4,86.6
King Abdullah University of Science & Technology,,50.4,91.3,54.4,75.9
Kyung Hee University,,46.5,88.5,77.2,74.8
Norwegian University of Science And Technology,,69.6,78.8,46.1,64.2
Politécnica de Madrid,,64,75.8,82.2,61.1
Pusan National University,,58.5,79.4,68.7,65.8
Queen Mary University of London,,63.8,80.3,61.7,61.8
Queen's University at Kingston,,60.4,77.7,79.5,61.1
Sapienza University of Rome,,59.6,81.4,51.6,70.7
Shanghai University,,52.6,77.5,65.7,78.4
Sichuan University,,51.6,83.3,41.8,82.9
South China University of Technology,,47,83.6,53.2,82.1
Sun Yat-sen University,,39.8,90.2,62.7,82.9
Vienna University of Technology,,69.7,76.4,38.2,64.7
The University of Auckland,,65.2,76.3,75,59.8
Tianjin University,,57,80.1,37.5,80
"Trinity College Dublin, The University of Dublin",,41.9,92.2,77.5,74.8
Universidade Estadual de Campinas (Unicamp),,67.9,75.6,63.1,63.6
Universidade Federal de São Carlos (UFSCAR),,63.3,75.1,60.9,60.5
Universidade Federal do Rio de Janeiro,,68.3,76.1,61.6,56.2
Università di Padova,,59.2,78.9,58.1,66.9
Alma Mater Studiorum - University of Bologna,,56.4,81.8,62.9,66.9
Universitat Politècnica de Catalunya,,64.2,74.7,66.6,58.4
Université Grenoble-Alpes,,59.7,78.7,61,68.4
Universiti Kebangsaan Malaysia (UKM),,64.4,74.8,75.7,57
Universiti Putra Malaysia (UPM),,58.2,77.5,77.1,62.4
University College Dublin,,52.8,82.7,80.3,66.4
University of Antwerp,,57.2,84.7,66.4,66.4
University of Delaware,,58.8,85.6,60.3,68.9
The University of Edinburgh,,63.2,82.2,68.8,59.1
Ghent University,,60.4,82.6,45.5,73.2
University of Helsinki,,60.8,84.3,55.9,68.9
"University of Illinois, Chicago (UIC)",,66.6,75.5,60.6,61.1
"University of North Carolina, Chapel Hill",,53.5,89.5,41.3,74.4
University of Notre Dame,,55,91.8,47.5,74.8
University of St Andrews,,58.2,85.6,61.5,62.4
University of Texas Dallas,,50.4,91.2,44.5,70.7
University of Tsukuba,,61.1,80.4,50.5,67.9
University of Utah,,58.9,85.4,33.9,71.1
University of Virginia,,60.3,78.2,68.8,59.1
Utrecht University,,56,87.3,43.9,70.2
Wuhan University of Technology,,49.8,85.5,51,81.5
