university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Sun Yat-sen University,,60.7,70.8,66.1,63.8
Syracuse University,,66.9,79.3,34.8,80
Texas A&M University,,57.8,78.7,64.2,71.3
The Hong Kong University of Science and Technology,,65.8,53.2,75.3,56.8
The University of Adelaide,,62.6,68,72.1,61.6
"Trinity College Dublin, The University of Dublin",,57,70.6,74.4,71.3
Universidad Autónoma de Madrid,,61.9,69.7,55.8,61.6
University Complutense Madrid,,65.8,65.1,49.6,65.9
Universidad de Buenos Aires (UBA),,73.3,49.3,69.7,51
Universidad de Chile,,71.4,57.8,70.4,47.6
Universidade Estadual de Campinas (Unicamp),,69.7,64.6,66.2,59.3
Universidade Federal do Rio de Janeiro,,73.2,60.9,51.2,47.6
Universität Frankfurt am Main,,66.3,61.4,46,63.8
Albert-Ludwigs-Universitaet Freiburg,,63.1,71.6,59,63.8
Universität Hamburg,,64.4,65.4,67,65.9
University of Cologne,,67.6,60.9,59.2,61.6
University of Vienna,,70.5,63.4,53.9,61.6
University of Alberta,,64.3,75.4,66.8,65.9
The University of Arizona,,66.4,80.3,50.7,67.8
University of Bern,,60.7,76.1,66,74.5
University of Calgary,,62.4,78.1,65.5,74.5
University of Canterbury,,63.3,76.5,72.5,63.8
University of Delhi,,67.3,57.3,64.8,47.6
University of Geneva,,64.9,72.8,56.7,71.3
University of Kent,,64,67.1,49.8,61.6
University of Liverpool,,59.5,84.5,57.4,85.8
"University of Maryland, College Park",,58.8,86.2,48.5,83.6
"The University of Newcastle, Australia (UON)",,60.3,71.5,65.7,59.3
University of Oulu,,63.8,75.7,59.2,80
University of the Witwatersrand,,62.6,74.6,64.7,69.6
University of Waikato,,62,71.5,66.9,71.3
Vrije Universiteit Brussel (VUB),,64.4,73.7,54.3,76
Wuhan University,,59.2,73.3,67.5,67.8
Zhejiang University,,58,68.9,77.5,63.8
Aalborg University,,54.1,77.2,63.5,76
"Birkbeck, University of London",,55.3,72.4,57.5,61.6
Colorado State University,,50.6,79.8,47.2,71.3
Curtin University,,50.9,72.4,67,69.6
East China Normal University,,59.6,64.6,46,61.6
Eberhard Karls Universität Tübingen,,66.7,53.2,55.7,47.6
George Washington University,,65,65.2,52.9,54
The Hebrew University of Jerusalem,,59.1,63.4,33.6,63.8
Hong Kong Baptist University,,65.8,59.7,46.7,61.6
Jagiellonian University,,64.9,51.7,66.4,56.8
James Cook University,,60.6,79.8,,74.5
Jawaharlal Nehru University,,73,38.4,37.2,39.7
Kyung Hee University,,56.4,61.6,78.2,54
Kyushu University,,62.7,51.3,62.3,47.6
Lomonosov Moscow State University,,72.4,28.9,85.3,39.7
Massey University,,49.6,70.5,66.2,71.3
Maynooth University,,57.7,70.2,64.5,65.9
Nagoya University,,58.3,59.9,68.6,51
National University of Ireland Galway,,54.8,63.4,68.5,61.6
Norwegian University of Science And Technology,,48.9,82.2,66.7,74.5
Osaka University,,66.3,43.8,72.4,39.7
Queen's University Belfast,,55.5,69.7,70.5,65.9
RMIT University,,50.8,76.5,74.2,77.4
Rutgers University - New Brunswick,,51.1,74.2,58.2,71.3
Stellenbosch University,,57.1,67.6,60.9,59.3
The Open University,,56,81.3,39,78.7
Umea University,,60.7,74.5,,71.3
Universidad Nacional de Colombia,,68.5,39.8,72.6,43.9
Universidade Federal de Minas Gerais,,57.7,59.7,53.4,63.8
University of Florence,,57.1,62.5,48.4,67.8
Universität Bremen,,58.8,60,33.9,67.8
Universiti Malaya (UM),,64.9,55.5,67.5,47.6
University of Aberdeen,,58.6,72.9,66.6,63.8
University of Antwerp,,52.7,77.6,37.7,72.9
University of Coimbra,,57.8,63,60.1,61.6
University of Florida,,55.1,80.6,66.3,69.6
University of Guelph,,52.1,72.2,71.5,65.9
University of Hawai'i at Mañoa,,63.4,69.5,,65.9
"University of Illinois, Chicago (UIC)",,56.1,77.9,64,61.6
University of Johannesburg,,52.2,77.5,59.5,67.8
University of Kentucky,,55.9,78,49.9,74.5
University of Lausanne,,58,65.5,62.4,71.3
University of Leicester,,55.7,74.6,51.8,67.8
Université de Liège,,56.4,71.3,45.5,61.6
University of Oregon,,54.4,76.1,38.2,77.4
University of Victoria,,56.1,80.9,48.5,77.4
University of Warsaw,,63.4,52.4,54.8,54
University of Wollongong,,53.2,77.3,69.7,74.5
University of York,,59.9,69,64.8,56.8
Western Sydney University,,58.1,73.1,53.1,65.9
