university,overall,ACADEMIC REPUTATION,CITATIONS PER PAPER,EMPLOYER REPUTATION,H-INDEX CITATIONS
Technical University of Denmark,,67.6,84.3,63,78.5
Technical University of Munich,,65.8,85.9,66.1,74.5
The University of Auckland,,74.5,86.5,82.6,64.8
The University of Sheffield,,59.4,90.1,62.4,80.1
Universidad de Buenos Aires (UBA),,68.8,82.6,75.6,72.5
Universität Frankfurt am Main,,68.8,89.7,65.7,75.4
Universität Hamburg,,69.1,85.9,56.2,78.1
Universität Potsdam,,74.5,89.1,37,77.7
Université de Montpellier,,69,87.6,61.8,78.5
Université de Strasbourg,,68.7,87.5,61.7,74.5
Université du Québec,,71.2,85.7,63.6,73
Université Paris Diderot - Paris 7,,70.2,86.5,35.4,78.1
University of Aberdeen,,68,84.7,79.1,72
University of Calgary,,68.8,80.6,68.1,75
University of Cape Town,,66.2,84.8,74.3,72.5
The University of Exeter,,60.5,92.3,64.2,87
University of Geneva,,64.5,88.1,50.5,76.3
University of Glasgow,,65.8,84.2,76.3,68
University of Illinois at Urbana-Champaign,,66.9,89.2,61,83.8
University of Lausanne,,75.6,84.7,59,70.9
University of Leicester,,63.4,90.1,53.8,82.7
University of Oklahoma,,68.5,87.3,55.8,78.5
University of Oregon,,72.8,85.7,49.5,74
University of Otago,,72.4,83.4,71.7,70.9
University of Science and Technology of China,,62.4,85.4,68.6,80.5
University of Southern California,,68.8,88,60.1,81.6
University of St Andrews,,69.9,88.7,57.2,76.3
University of Victoria,,57,93.6,73.3,86.4
University of Waterloo,,65.1,88.8,70.2,78.1
University of Zurich,,56.8,94.7,66.7,81.3
Uppsala University,,74.5,84.5,69.4,72
Victoria University of Wellington,,72.4,83.6,76.8,68
Vrije Universiteit Amsterdam,,69.2,90.2,59.8,78.1
Aristotle University of Thessaloniki,,63.3,80.4,56.7,69.8
Beijing Normal University,,57.6,82.8,63.5,78.9
Boston University,,54.8,89.5,65.6,75.9
Cardiff University,,64.9,86.7,54.6,74
City University of Hong Kong,,58.8,79.4,86.7,67.4
École Normale Supérieure de Lyon,,72.5,80.7,33.3,68
Hiroshima University,,64,82.8,47.1,69.8
Indiana University Bloomington,,59.7,88.2,72.8,74
Johannes Gutenberg Universität Mainz,,65,94.9,,82
KU Leuven,,62,84.9,65.5,73.5
King's College London,,63.8,85,57.8,74.5
Lancaster University,,58.9,84.3,70.4,74.5
McMaster University,,58.8,88.7,80.7,64.8
Michigan State University,,60.1,88.8,70,69.8
National University of Ireland Galway,,61.7,80.4,63.7,70.3
Newcastle University,,63.9,87,59,73
Northwestern University,,61.1,88.6,62.7,75.9
